time,tasmin_day_drought_HadGEM2-ES_rcp85_late_century
2046-05-07 00:00:00+00:00,279.62866
2046-05-08 00:00:00+00:00,280.90668
2046-05-09 00:00:00+00:00,281.47498
2046-05-10 00:00:00+00:00,282.35284
2046-05-11 00:00:00+00:00,282.7897
2046-05-12 00:00:00+00:00,282.08157
2046-05-13 00:00:00+00:00,279.57977
2046-05-14 00:00:00+00:00,277.50778
2046-05-15 00:00:00+00:00,276.4354
2046-05-16 00:00:00+00:00,274.88452
2046-05-17 00:00:00+00:00,277.79602
2046-05-18 00:00:00+00:00,277.55222
2046-05-19 00:00:00+00:00,278.38385
2046-05-20 00:00:00+00:00,281.46262
2046-05-21 00:00:00+00:00,282.52982
2046-05-22 00:00:00+00:00,279.8346
2046-05-23 00:00:00+00:00,280.40182
2046-05-24 00:00:00+00:00,279.81253
2046-05-25 00:00:00+00:00,281.50037
2046-05-26 00:00:00+00:00,280.46802
2046-05-27 00:00:00+00:00,280.8472
2046-05-28 00:00:00+00:00,281.68835
2046-05-29 00:00:00+00:00,284.4817
2046-05-30 00:00:00+00:00,280.20847
2046-05-31 00:00:00+00:00,281.16885
2046-06-01 00:00:00+00:00,280.4289
2046-06-02 00:00:00+00:00,280.44244
2046-06-03 00:00:00+00:00,284.28696
2046-06-04 00:00:00+00:00,284.48526
2046-06-05 00:00:00+00:00,282.23883
2046-06-06 00:00:00+00:00,281.9844
2046-06-07 00:00:00+00:00,281.99747
2046-06-08 00:00:00+00:00,280.00275
2046-06-09 00:00:00+00:00,280.80087
2046-06-10 00:00:00+00:00,280.7307
2046-06-11 00:00:00+00:00,281.0428
2046-06-12 00:00:00+00:00,282.00525
2046-06-13 00:00:00+00:00,283.61978
2046-06-14 00:00:00+00:00,280.12253
2046-06-15 00:00:00+00:00,278.5998
2046-06-16 00:00:00+00:00,284.28693
2046-06-17 00:00:00+00:00,285.54343
2046-06-18 00:00:00+00:00,285.55933
2046-06-19 00:00:00+00:00,286.5255
2046-06-20 00:00:00+00:00,287.94
2046-06-21 00:00:00+00:00,284.26456
2046-06-22 00:00:00+00:00,282.8357
2046-06-23 00:00:00+00:00,284.487
2046-06-24 00:00:00+00:00,283.80133
2046-06-25 00:00:00+00:00,286.72525
2046-06-26 00:00:00+00:00,285.8194
2046-06-27 00:00:00+00:00,282.7363
2046-06-28 00:00:00+00:00,283.24957
2046-06-29 00:00:00+00:00,283.38278
2046-06-30 00:00:00+00:00,282.63947
2046-07-01 00:00:00+00:00,282.57565
2046-07-02 00:00:00+00:00,283.6109
2046-07-03 00:00:00+00:00,283.26
2046-07-04 00:00:00+00:00,283.19388
2046-07-05 00:00:00+00:00,283.75095
2046-07-06 00:00:00+00:00,283.74362
2046-07-07 00:00:00+00:00,284.86905
2046-07-08 00:00:00+00:00,287.17047
2046-07-09 00:00:00+00:00,285.22214
2046-07-10 00:00:00+00:00,285.30353
2046-07-11 00:00:00+00:00,284.40454
2046-07-12 00:00:00+00:00,284.15054
2046-07-13 00:00:00+00:00,285.0339
2046-07-14 00:00:00+00:00,285.49905
2046-07-15 00:00:00+00:00,286.44214
2046-07-16 00:00:00+00:00,286.2847
2046-07-17 00:00:00+00:00,285.89612
2046-07-18 00:00:00+00:00,286.2804
2046-07-19 00:00:00+00:00,286.3543
2046-07-20 00:00:00+00:00,285.7531
2046-07-21 00:00:00+00:00,284.98166
2046-07-22 00:00:00+00:00,284.98825
2046-07-23 00:00:00+00:00,284.34592
2046-07-24 00:00:00+00:00,287.91168
2046-07-25 00:00:00+00:00,287.04745
2046-07-26 00:00:00+00:00,285.64404
2046-07-27 00:00:00+00:00,285.3483
2046-07-28 00:00:00+00:00,284.86374
2046-07-29 00:00:00+00:00,283.89825
2046-07-30 00:00:00+00:00,284.4412
2046-07-31 00:00:00+00:00,283.91537
2046-08-01 00:00:00+00:00,285.65247
2046-08-02 00:00:00+00:00,286.16586
2046-08-03 00:00:00+00:00,285.85352
2046-08-04 00:00:00+00:00,286.17142
2046-08-05 00:00:00+00:00,284.47226
2046-08-06 00:00:00+00:00,285.1528
2046-08-07 00:00:00+00:00,284.5862
2046-08-08 00:00:00+00:00,286.11313
2046-08-09 00:00:00+00:00,286.59164
2046-08-10 00:00:00+00:00,285.46848
2046-08-11 00:00:00+00:00,284.57898
2046-08-12 00:00:00+00:00,285.04913
2046-08-13 00:00:00+00:00,285.05283
2046-08-14 00:00:00+00:00,287.62573
2046-08-15 00:00:00+00:00,287.65652
2046-08-16 00:00:00+00:00,288.28784
2046-08-17 00:00:00+00:00,287.7682
2046-08-18 00:00:00+00:00,286.3667
2046-08-19 00:00:00+00:00,287.2328
2046-08-20 00:00:00+00:00,287.30118
2046-08-21 00:00:00+00:00,288.08533
2046-08-22 00:00:00+00:00,286.08548
2046-08-23 00:00:00+00:00,285.6452
2046-08-24 00:00:00+00:00,285.61447
2046-08-25 00:00:00+00:00,286.89383
2046-08-26 00:00:00+00:00,286.7391
2046-08-27 00:00:00+00:00,287.25003
2046-08-28 00:00:00+00:00,286.7003
2046-08-29 00:00:00+00:00,286.96802
2046-08-30 00:00:00+00:00,286.11215
2046-08-31 00:00:00+00:00,284.9706
2046-09-01 00:00:00+00:00,283.99258
2046-09-02 00:00:00+00:00,285.67297
2046-09-03 00:00:00+00:00,285.0588
2046-09-04 00:00:00+00:00,285.69006
2046-09-05 00:00:00+00:00,286.26767
2046-09-06 00:00:00+00:00,284.83875
2046-09-07 00:00:00+00:00,286.79697
2046-09-08 00:00:00+00:00,286.69815
2046-09-09 00:00:00+00:00,285.3108
2046-09-10 00:00:00+00:00,283.71573
2046-09-11 00:00:00+00:00,284.3294
2046-09-12 00:00:00+00:00,283.81342
2046-09-13 00:00:00+00:00,288.45044
2046-09-14 00:00:00+00:00,286.7379
2046-09-15 00:00:00+00:00,283.31357
2046-09-16 00:00:00+00:00,282.33994
2046-09-17 00:00:00+00:00,281.817
2046-09-18 00:00:00+00:00,281.8014
2046-09-19 00:00:00+00:00,281.55548
2046-09-20 00:00:00+00:00,283.555
2046-09-21 00:00:00+00:00,281.53113
2046-09-22 00:00:00+00:00,280.54388
2046-09-23 00:00:00+00:00,281.1662
2046-09-24 00:00:00+00:00,280.80103
2046-09-25 00:00:00+00:00,281.7405
2046-09-26 00:00:00+00:00,282.99365
2046-09-27 00:00:00+00:00,285.36874
2046-09-28 00:00:00+00:00,284.9502
2046-09-29 00:00:00+00:00,281.42676
2046-09-30 00:00:00+00:00,282.22058
2046-10-01 00:00:00+00:00,283.61282
2046-10-02 00:00:00+00:00,282.76083
2046-10-03 00:00:00+00:00,283.52368
2046-10-04 00:00:00+00:00,285.19586
