time,tasmax_day_drought_HadGEM2-ES_rcp85_late_century
2046-05-06 00:00:00+00:00,293.09647
2046-05-07 00:00:00+00:00,292.56418
2046-05-08 00:00:00+00:00,291.73718
2046-05-09 00:00:00+00:00,292.13504
2046-05-10 00:00:00+00:00,292.6954
2046-05-11 00:00:00+00:00,289.9913
2046-05-12 00:00:00+00:00,290.90564
2046-05-13 00:00:00+00:00,291.36826
2046-05-14 00:00:00+00:00,290.37543
2046-05-15 00:00:00+00:00,292.94247
2046-05-16 00:00:00+00:00,294.04504
2046-05-17 00:00:00+00:00,297.82477
2046-05-18 00:00:00+00:00,296.9879
2046-05-19 00:00:00+00:00,297.70587
2046-05-20 00:00:00+00:00,293.7417
2046-05-21 00:00:00+00:00,294.71512
2046-05-22 00:00:00+00:00,296.9051
2046-05-23 00:00:00+00:00,296.62766
2046-05-24 00:00:00+00:00,297.54333
2046-05-25 00:00:00+00:00,294.86053
2046-05-26 00:00:00+00:00,292.8779
2046-05-27 00:00:00+00:00,294.96884
2046-05-28 00:00:00+00:00,296.18503
2046-05-29 00:00:00+00:00,293.75366
2046-05-30 00:00:00+00:00,293.88785
2046-05-31 00:00:00+00:00,293.63187
2046-06-01 00:00:00+00:00,298.1814
2046-06-02 00:00:00+00:00,296.37372
2046-06-03 00:00:00+00:00,292.26776
2046-06-04 00:00:00+00:00,295.3714
2046-06-05 00:00:00+00:00,297.40335
2046-06-06 00:00:00+00:00,297.8113
2046-06-07 00:00:00+00:00,296.4937
2046-06-08 00:00:00+00:00,297.39334
2046-06-09 00:00:00+00:00,298.72394
2046-06-10 00:00:00+00:00,297.81262
2046-06-11 00:00:00+00:00,297.96814
2046-06-12 00:00:00+00:00,299.67148
2046-06-13 00:00:00+00:00,298.9378
2046-06-14 00:00:00+00:00,300.96146
2046-06-15 00:00:00+00:00,301.02356
2046-06-16 00:00:00+00:00,301.25946
2046-06-17 00:00:00+00:00,304.52814
2046-06-18 00:00:00+00:00,304.41632
2046-06-19 00:00:00+00:00,304.25613
2046-06-20 00:00:00+00:00,302.11017
2046-06-21 00:00:00+00:00,300.71878
2046-06-22 00:00:00+00:00,296.31418
2046-06-23 00:00:00+00:00,296.06253
2046-06-24 00:00:00+00:00,299.75037
2046-06-25 00:00:00+00:00,299.21112
2046-06-26 00:00:00+00:00,302.01917
2046-06-27 00:00:00+00:00,300.9143
2046-06-28 00:00:00+00:00,299.61597
2046-06-29 00:00:00+00:00,297.0076
2046-06-30 00:00:00+00:00,296.7998
2046-07-01 00:00:00+00:00,297.25513
2046-07-02 00:00:00+00:00,296.6459
2046-07-03 00:00:00+00:00,296.62183
2046-07-04 00:00:00+00:00,298.11185
2046-07-05 00:00:00+00:00,298.63086
2046-07-06 00:00:00+00:00,299.19385
2046-07-07 00:00:00+00:00,300.49765
2046-07-08 00:00:00+00:00,300.2292
2046-07-09 00:00:00+00:00,296.61902
2046-07-10 00:00:00+00:00,295.66913
2046-07-11 00:00:00+00:00,295.50653
2046-07-12 00:00:00+00:00,295.94525
2046-07-13 00:00:00+00:00,296.52042
2046-07-14 00:00:00+00:00,297.69617
2046-07-15 00:00:00+00:00,297.86826
2046-07-16 00:00:00+00:00,297.06952
