time,pr_day_drought_HadGEM2-ES_rcp85_late_century
2046-05-09 00:00:00+00:00,0.004
2046-05-10 00:00:00+00:00,0.122999996
2046-05-11 00:00:00+00:00,0.0275
2046-05-12 00:00:00+00:00,0.0
2046-05-13 00:00:00+00:00,0.14549999
2046-05-14 00:00:00+00:00,0.099
2046-05-15 00:00:00+00:00,0.009
2046-05-16 00:00:00+00:00,0.0
2046-05-17 00:00:00+00:00,0.0
2046-05-18 00:00:00+00:00,0.0
2046-05-19 00:00:00+00:00,0.0175
2046-05-20 00:00:00+00:00,0.0
2046-05-21 00:00:00+00:00,0.81299996
2046-05-22 00:00:00+00:00,0.14199999
2046-05-23 00:00:00+00:00,0.042999998
2046-05-24 00:00:00+00:00,0.0
2046-05-25 00:00:00+00:00,0.0175
2046-05-26 00:00:00+00:00,0.022
2046-05-27 00:00:00+00:00,1.2045001
2046-05-28 00:00:00+00:00,1.7095001
2046-05-29 00:00:00+00:00,6.742
2046-05-30 00:00:00+00:00,1.901
2046-05-31 00:00:00+00:00,0.016500002
2046-06-01 00:00:00+00:00,0.0505
2046-06-02 00:00:00+00:00,0.016499998
2046-06-03 00:00:00+00:00,0.11
2046-06-04 00:00:00+00:00,0.142
2046-06-05 00:00:00+00:00,0.0
2046-06-06 00:00:00+00:00,0.0
2046-06-07 00:00:00+00:00,0.0
2046-06-08 00:00:00+00:00,0.0
2046-06-09 00:00:00+00:00,0.0
2046-06-10 00:00:00+00:00,0.0
2046-06-11 00:00:00+00:00,0.0
2046-06-12 00:00:00+00:00,0.0
2046-06-13 00:00:00+00:00,0.0
2046-06-14 00:00:00+00:00,0.0
2046-06-15 00:00:00+00:00,0.0
2046-06-16 00:00:00+00:00,0.0
2046-06-17 00:00:00+00:00,0.0
2046-06-18 00:00:00+00:00,0.0
2046-06-19 00:00:00+00:00,0.0
2046-06-20 00:00:00+00:00,0.0
2046-06-21 00:00:00+00:00,0.0075
2046-06-22 00:00:00+00:00,0.0
2046-06-23 00:00:00+00:00,0.0
2046-06-24 00:00:00+00:00,0.007999999
2046-06-25 00:00:00+00:00,0.0
2046-06-26 00:00:00+00:00,0.0
2046-06-27 00:00:00+00:00,0.0
2046-06-28 00:00:00+00:00,0.0
2046-06-29 00:00:00+00:00,0.0
2046-06-30 00:00:00+00:00,0.0
2046-07-01 00:00:00+00:00,0.0
2046-07-02 00:00:00+00:00,0.0
2046-07-03 00:00:00+00:00,0.0
2046-07-04 00:00:00+00:00,0.0
2046-07-05 00:00:00+00:00,0.0
2046-07-06 00:00:00+00:00,0.0
2046-07-07 00:00:00+00:00,0.002
2046-07-08 00:00:00+00:00,0.0
2046-07-09 00:00:00+00:00,0.0
2046-07-10 00:00:00+00:00,0.0
2046-07-11 00:00:00+00:00,0.0
2046-07-12 00:00:00+00:00,0.0
2046-07-13 00:00:00+00:00,0.0
2046-07-14 00:00:00+00:00,0.38
2046-07-15 00:00:00+00:00,0.047000002
2046-07-16 00:00:00+00:00,0.0
2046-07-17 00:00:00+00:00,0.0335
2046-07-18 00:00:00+00:00,0.2345
2046-07-19 00:00:00+00:00,0.0
2046-07-20 00:00:00+00:00,0.0
2046-07-21 00:00:00+00:00,0.0
2046-07-22 00:00:00+00:00,0.0
2046-07-23 00:00:00+00:00,0.0
2046-07-24 00:00:00+00:00,0.0
2046-07-25 00:00:00+00:00,0.003
2046-07-26 00:00:00+00:00,0.0
2046-07-27 00:00:00+00:00,0.0
2046-07-28 00:00:00+00:00,0.0
2046-07-29 00:00:00+00:00,0.0
2046-07-30 00:00:00+00:00,0.0
2046-07-31 00:00:00+00:00,0.0
2046-08-01 00:00:00+00:00,0.0025
2046-08-02 00:00:00+00:00,0.0
2046-08-03 00:00:00+00:00,0.0
2046-08-04 00:00:00+00:00,0.0
2046-08-05 00:00:00+00:00,0.0
2046-08-06 00:00:00+00:00,0.0
2046-08-07 00:00:00+00:00,0.0
2046-08-08 00:00:00+00:00,0.0
2046-08-09 00:00:00+00:00,0.0
2046-08-10 00:00:00+00:00,0.0
2046-08-11 00:00:00+00:00,0.0
2046-08-12 00:00:00+00:00,0.0
2046-08-13 00:00:00+00:00,0.0
2046-08-14 00:00:00+00:00,0.0
2046-08-15 00:00:00+00:00,0.0
2046-08-16 00:00:00+00:00,0.061499998
2046-08-17 00:00:00+00:00,0.0
2046-08-18 00:00:00+00:00,0.0
2046-08-19 00:00:00+00:00,0.137
2046-08-20 00:00:00+00:00,0.09
2046-08-21 00:00:00+00:00,0.083500005
2046-08-22 00:00:00+00:00,0.0
2046-08-23 00:00:00+00:00,0.0
2046-08-24 00:00:00+00:00,0.175
2046-08-25 00:00:00+00:00,0.048500005
2046-08-26 00:00:00+00:00,0.0
2046-08-27 00:00:00+00:00,0.0
2046-08-28 00:00:00+00:00,0.0
2046-08-29 00:00:00+00:00,0.0
2046-08-30 00:00:00+00:00,0.0
2046-08-31 00:00:00+00:00,0.0
2046-09-01 00:00:00+00:00,0.0
2046-09-02 00:00:00+00:00,0.0
2046-09-03 00:00:00+00:00,0.0
2046-09-04 00:00:00+00:00,0.0
2046-09-05 00:00:00+00:00,0.0
2046-09-06 00:00:00+00:00,0.0
2046-09-07 00:00:00+00:00,0.0
2046-09-08 00:00:00+00:00,0.0
2046-09-09 00:00:00+00:00,0.36150002
2046-09-10 00:00:00+00:00,0.047000002
2046-09-11 00:00:00+00:00,0.0
2046-09-12 00:00:00+00:00,0.0
2046-09-13 00:00:00+00:00,0.0
2046-09-14 00:00:00+00:00,0.1995
2046-09-15 00:00:00+00:00,0.0
2046-09-16 00:00:00+00:00,0.0
2046-09-17 00:00:00+00:00,0.0
2046-09-18 00:00:00+00:00,0.0
2046-09-19 00:00:00+00:00,0.0
2046-09-20 00:00:00+00:00,0.0
2046-09-21 00:00:00+00:00,0.0
2046-09-22 00:00:00+00:00,0.0
2046-09-23 00:00:00+00:00,0.0
2046-09-24 00:00:00+00:00,0.0
2046-09-25 00:00:00+00:00,0.0
2046-09-26 00:00:00+00:00,0.0
2046-09-27 00:00:00+00:00,0.0
2046-09-28 00:00:00+00:00,0.0
2046-09-29 00:00:00+00:00,0.0
2046-09-30 00:00:00+00:00,0.0
2046-10-01 00:00:00+00:00,0.0135
2046-10-02 00:00:00+00:00,0.0
2046-10-03 00:00:00+00:00,0.0005
2046-10-04 00:00:00+00:00,0.8105
2046-10-05 00:00:00+00:00,0.59800005
2046-10-06 00:00:00+00:00,0.0
2046-10-07 00:00:00+00:00,0.0
2046-10-08 00:00:00+00:00,0.0
2046-10-09 00:00:00+00:00,0.0025
2046-10-10 00:00:00+00:00,1.8505
2046-10-11 00:00:00+00:00,0.029500002
2046-10-12 00:00:00+00:00,0.2555
2046-10-13 00:00:00+00:00,0.0070000007
2046-10-14 00:00:00+00:00,0.0005
2046-10-15 00:00:00+00:00,0.0
2046-10-16 00:00:00+00:00,0.0
2046-10-17 00:00:00+00:00,0.0
2046-10-18 00:00:00+00:00,0.0
2046-10-19 00:00:00+00:00,0.0
2046-10-20 00:00:00+00:00,0.0
2046-10-21 00:00:00+00:00,0.0
2046-10-22 00:00:00+00:00,0.0
2046-10-23 00:00:00+00:00,0.3705
2046-10-24 00:00:00+00:00,0.0
2046-10-25 00:00:00+00:00,0.034
2046-10-26 00:00:00+00:00,0.0139999995
2046-10-27 00:00:00+00:00,0.103
2046-10-28 00:00:00+00:00,0.006
2046-10-29 00:00:00+00:00,0.027
2046-10-30 00:00:00+00:00,0.0
2046-10-31 00:00:00+00:00,0.0
2046-11-01 00:00:00+00:00,0.0
2046-11-02 00:00:00+00:00,6.008
2046-11-03 00:00:00+00:00,0.338
2046-11-04 00:00:00+00:00,0.0
2046-11-05 00:00:00+00:00,0.0
2046-11-06 00:00:00+00:00,0.69100004
2046-11-07 00:00:00+00:00,0.0
2046-11-08 00:00:00+00:00,0.0145000005
2046-11-09 00:00:00+00:00,0.0
2046-11-10 00:00:00+00:00,0.0
2046-11-11 00:00:00+00:00,0.0
2046-11-12 00:00:00+00:00,0.0
2046-11-13 00:00:00+00:00,0.0
2046-11-14 00:00:00+00:00,0.0
2046-11-15 00:00:00+00:00,0.0
2046-11-16 00:00:00+00:00,0.0
2046-11-17 00:00:00+00:00,0.0
2046-11-18 00:00:00+00:00,0.0
2046-11-19 00:00:00+00:00,0.0
2046-11-20 00:00:00+00:00,0.0
2046-11-21 00:00:00+00:00,0.0
2046-11-22 00:00:00+00:00,0.0
2046-11-23 00:00:00+00:00,0.0
2046-11-24 00:00:00+00:00,0.0
2046-11-25 00:00:00+00:00,0.0
2046-11-26 00:00:00+00:00,0.0
2046-11-27 00:00:00+00:00,2.1785
2046-11-28 00:00:00+00:00,35.982502
2046-11-29 00:00:00+00:00,36.139
2046-11-30 00:00:00+00:00,13.547001
2046-12-01 00:00:00+00:00,8.212
2046-12-02 00:00:00+00:00,1.4965001
2046-12-03 00:00:00+00:00,0.0
2046-12-04 00:00:00+00:00,0.002
2046-12-05 00:00:00+00:00,0.055999998
2046-12-06 00:00:00+00:00,0.19549999
2046-12-07 00:00:00+00:00,0.001
2046-12-08 00:00:00+00:00,0.0
2046-12-09 00:00:00+00:00,0.535
2046-12-10 00:00:00+00:00,1.162
2046-12-11 00:00:00+00:00,2.424
2046-12-12 00:00:00+00:00,19.529501
2046-12-13 00:00:00+00:00,10.205
2046-12-14 00:00:00+00:00,5.5435
2046-12-15 00:00:00+00:00,0.42249995
2046-12-16 00:00:00+00:00,0.0
2046-12-17 00:00:00+00:00,0.001
