"","wy","location","total_rain","spi"
"1",2018,"santa barbara",0.233418747203,-0.689901485064536
"2",2018,"santa cruz",0.3711699948703,-1.42391433675051
"3",2019,"santa barbara",0.201734372773,-0.819109621692045
"4",2019,"santa cruz",0.5921485078481,-0.772170854081218
"5",2020,"santa barbara",1.351065634304,1.94772308820527
"6",2020,"santa cruz",1.5982774991886,1.75189238145407
"7",2021,"santa barbara",0.63888751195,0.837656180686479
"8",2021,"santa cruz",1.1656984921183,0.863187010090614
"9",2022,"santa barbara",0.583393757619,0.519712254849136
"10",2022,"santa cruz",1.3960034814676,1.50623444987103
"11",2023,"santa barbara",0.392056257302,0.0496652990197633
"12",2023,"santa cruz",1.0690795048886,1.45116594724349
"13",2024,"santa barbara",0.290381254772,-0.466464078170953
"14",2024,"santa cruz",0.703474998082,-0.233392789584009
"15",2025,"santa barbara",0.390806248482,-0.214544271945926
"16",2025,"santa cruz",0.5880789983542,-0.784809888099546
"17",2026,"santa barbara",0.18089374959,-0.629954648569261
"18",2026,"santa cruz",0.5948594990249,-0.642499883967178
"19",2027,"santa barbara",0.313034376328,-0.510719777567506
"20",2027,"santa cruz",0.6713074922554,-0.784170276716635
"21",2028,"santa barbara",0.383034373563,-0.200798759681104
"22",2028,"santa cruz",0.8670294897572,0.185241589080394
"23",2029,"santa barbara",0.90948123757,1.79387726083072
"24",2029,"santa cruz",0.8861715093608,0.682881636604623
"25",2030,"santa barbara",0.650196873139,0.500902744743912
"26",2030,"santa cruz",0.9680854986667,0.457707630863875
"27",2031,"santa barbara",1.49997187333,1.48783398737111
"28",2031,"santa cruz",1.6547499846295,1.46765519626462
"29",2032,"santa barbara",0.271793754876,-0.235876197144319
"30",2032,"santa cruz",0.5055949887366,-0.967148870423378
"31",2033,"santa barbara",0.126537498975,-1.84662696072053
"32",2033,"santa cruz",0.6191104966605,-1.00193425275328
"33",2034,"santa barbara",0.407631263146,-0.100384888218203
"34",2034,"santa cruz",0.7922345119148,-0.0416512868284233
"35",2035,"santa barbara",0.197878123146,-1.04916286363555
"36",2035,"santa cruz",0.4677174948363,-1.60049322720136
"37",2036,"santa barbara",0.244834373129,-0.642231884787995
"38",2036,"santa cruz",0.584929499676,-0.601306076748299
"39",2037,"santa barbara",0.664984388112,0.366721246218986
"40",2037,"santa cruz",1.0205339866787,0.317696614735277
"41",2038,"santa barbara",0.266881248841,-0.254561519941416
"42",2038,"santa cruz",0.7618400089888,-0.115568909689371
"43",2039,"santa barbara",0.174568748147,-1.41062323575474
"44",2039,"santa cruz",0.5101710039909,-1.50107313810104
"45",2040,"santa barbara",0.603846884212,0.583356687420351
"46",2040,"santa cruz",0.8737094830329,0.204860290055169
