time,et_day_drought_HadGEM2-ES_rcp85_late_century
2046-05-02 00:00:00+00:00,2.8956869
2046-05-03 00:00:00+00:00,3.44457
2046-05-04 00:00:00+00:00,2.9860218
2046-05-05 00:00:00+00:00,2.72035
2046-05-06 00:00:00+00:00,3.149559
2046-05-07 00:00:00+00:00,3.0566256
2046-05-08 00:00:00+00:00,2.7925363
2046-05-09 00:00:00+00:00,2.7873502
2046-05-10 00:00:00+00:00,2.7841413
2046-05-11 00:00:00+00:00,2.1614692
2046-05-12 00:00:00+00:00,2.4413247
2046-05-13 00:00:00+00:00,2.4741714
2046-05-14 00:00:00+00:00,2.6072748
2046-05-15 00:00:00+00:00,3.043738
2046-05-16 00:00:00+00:00,3.3009422
2046-05-17 00:00:00+00:00,3.9048796
2046-05-18 00:00:00+00:00,3.9633825
2046-05-19 00:00:00+00:00,4.028681
2046-05-20 00:00:00+00:00,3.227349
2046-05-21 00:00:00+00:00,3.064562
2046-05-22 00:00:00+00:00,3.9201772
2046-05-23 00:00:00+00:00,3.596341
2046-05-24 00:00:00+00:00,3.6786065
2046-05-25 00:00:00+00:00,3.1499174
2046-05-26 00:00:00+00:00,2.7064307
2046-05-27 00:00:00+00:00,2.7887626
2046-05-28 00:00:00+00:00,3.7830994
2046-05-29 00:00:00+00:00,2.7932084
2046-05-30 00:00:00+00:00,3.856566
2046-05-31 00:00:00+00:00,2.8672478
2046-06-01 00:00:00+00:00,3.7252069
2046-06-02 00:00:00+00:00,3.484646
2046-06-03 00:00:00+00:00,2.3565469
2046-06-04 00:00:00+00:00,3.078985
2046-06-05 00:00:00+00:00,3.620603
2046-06-06 00:00:00+00:00,3.7188973
2046-06-07 00:00:00+00:00,3.4110618
2046-06-08 00:00:00+00:00,3.4846563
2046-06-09 00:00:00+00:00,3.692386
2046-06-10 00:00:00+00:00,3.3643022
2046-06-11 00:00:00+00:00,3.2519245
2046-06-12 00:00:00+00:00,3.467539
2046-06-13 00:00:00+00:00,3.3218338
2046-06-14 00:00:00+00:00,3.4129462
2046-06-15 00:00:00+00:00,3.2877119
2046-06-16 00:00:00+00:00,3.233595
2046-06-17 00:00:00+00:00,3.5046844
2046-06-18 00:00:00+00:00,3.2204053
2046-06-19 00:00:00+00:00,3.0694146
2046-06-20 00:00:00+00:00,2.7549484
2046-06-21 00:00:00+00:00,2.405268
2046-06-22 00:00:00+00:00,2.0118415
2046-06-23 00:00:00+00:00,1.8180684
2046-06-24 00:00:00+00:00,1.9865555
2046-06-25 00:00:00+00:00,1.8778043
2046-06-26 00:00:00+00:00,1.8364246
2046-06-27 00:00:00+00:00,1.5934677
2046-06-28 00:00:00+00:00,1.3369583
2046-06-29 00:00:00+00:00,1.0715889
2046-06-30 00:00:00+00:00,0.98166525
2046-07-01 00:00:00+00:00,0.9054593
2046-07-02 00:00:00+00:00,0.7932799
2046-07-03 00:00:00+00:00,0.72173417
2046-07-04 00:00:00+00:00,0.7382403
2046-07-05 00:00:00+00:00,0.66417557
2046-07-06 00:00:00+00:00,0.58022505
2046-07-07 00:00:00+00:00,0.54900175
